Rank,Category,Gender,Region,LocalStatus,SpecialReservation,CollegeCode,CollegeName,Branch,CutoffRank
,ST,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,157250
,ST,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,157250
,BCA,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,161249
,BCA,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,172486
,BCB,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,163789
,BCB,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,163789
,BCC,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,128861
,BCC,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,128861
,BCD,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,176374
,BCD,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,177195
,BCE,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,167062
,BCE,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,167062
,OC_EWS,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,173286
,OC_EWS,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,CSE,136779
,OC,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,161894
,OC,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,161894
,SC,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,174884
,SC,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,177676
,ST,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,161894
,ST,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,161894
,BCA,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,161894
,BCA,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,161894
,BCB,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,161894
,BCB,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,169552
,BCC,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,161894
,BCC,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,161894
,BCD,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,161894
,BCD,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,161894
,BCE,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,161894
,BCE,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,161894
,OC_EWS,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,113560
,OC_EWS,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,ECE,118267
,OC,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,EEE,150417
,SC,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,EEE,164975
,SC,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,EEE,164975
,ST,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,EEE,150417
,BCA,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,EEE,150417
,BCB,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,EEE,150417
,BCC,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,EEE,150417
,BCD,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,EEE,150417
,BCE,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,EEE,150417
,OC,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,152545
,OC,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,152545
,SC,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,154902
,SC,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,154902
,ST,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,152545
,ST,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,157155
,BCA,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,152545
,BCA,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,152545
,BCB,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,152545
,BCB,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,152545
,BCC,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,152545
,BCC,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,152545
,BCD,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,156064
,BCD,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,156064
,BCE,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,152545
,BCE,Female,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,152545
,OC_EWS,Male,AU,Local,None,ACEE,ADARSH COLLEGE OF ENGINEERING,MEC,166550
,OC,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CIV,71458
,OC,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CIV,71458
,SC,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CIV,165515
,SC,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CIV,175777
,ST,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CIV,108103
,ST,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CIV,121894
,BCA,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CIV,121512
,BCA,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CIV,175154
,BCB,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CIV,103308
,BCB,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CIV,173293
,BCC,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CIV,71458
,BCC,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CIV,121793
,BCD,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CIV,96634
,BCD,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CIV,96634
,BCE,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CIV,71458
,BCE,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CIV,71458
,OC_EWS,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CIV,81009
,OC_EWS,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CIV,81067
,OC,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSD,38871
,OC,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSD,38871
,SC,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSD,140467
,SC,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSD,160622
,ST,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSD,151805
,ST,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSD,156024
,BCA,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSD,71005
,BCA,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSD,71005
,BCB,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSD,64627
,BCB,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSD,66698
,BCC,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSD,38871
,BCC,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSD,38871
,BCD,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSD,49803
,BCD,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSD,56411
,BCE,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSD,150056
,BCE,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSD,150056
,OC_EWS,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSD,38653
,OC_EWS,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSD,41848
,OC,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSE,25298
,OC,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSE,25298
,SC,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSE,96256
,SC,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSE,134974
,ST,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSE,162100
,ST,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSE,162100
,BCA,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSE,52238
,BCA,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSE,52238
,BCB,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSE,43130
,BCB,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSE,43130
,BCC,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSE,92163
,BCC,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSE,103952
,BCD,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSE,36237
,BCD,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSE,36237
,BCE,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSE,135949
,BCE,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSE,135949
,OC_EWS,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSE,30016
,OC_EWS,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSE,28767
,OC,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSM,32023
,OC,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSM,32023
,SC,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSM,155838
,SC,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSM,173032
,ST,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSM,151318
,ST,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSM,165275
,BCA,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSM,62296
,BCA,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSM,71996
,BCB,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSM,59902
,BCB,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSM,64713
,BCC,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSM,116275
,BCC,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSM,116275
,BCD,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSM,50679
,BCD,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSM,50679
,BCE,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSM,144644
,BCE,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSM,144644
,OC_EWS,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSM,36444
,OC_EWS,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",CSM,35619
,OC,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",ECE,42426
,OC,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",ECE,45361
,SC,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",ECE,152577
,SC,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",ECE,171399
,ST,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",ECE,172849
,ST,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",ECE,172849
,BCA,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",ECE,90140
,BCA,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",ECE,90140
,BCB,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",ECE,66335
,BCB,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",ECE,75200
,BCC,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",ECE,67761
,BCC,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",ECE,99432
,BCD,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",ECE,61898
,BCD,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",ECE,61898
,BCE,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",ECE,130991
,BCE,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",ECE,163207
,OC_EWS,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",ECE,46455
,OC_EWS,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",ECE,46867
,OC,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",EEE,49158
,OC,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",EEE,49158
,SC,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",EEE,158140
,SC,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",EEE,158140
,ST,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",EEE,162896
,ST,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",EEE,162896
,BCA,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",EEE,99964
,BCA,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",EEE,99964
,BCB,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",EEE,109687
,BCB,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",EEE,109687
,BCC,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",EEE,49158
,BCC,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",EEE,49158
,BCD,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",EEE,83745
,BCD,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",EEE,83745
,BCE,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",EEE,84722
,BCE,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",EEE,84722
,OC_EWS,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",EEE,55707
,OC_EWS,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",EEE,55644
,OC,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",INF,37216
,OC,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",INF,37216
,SC,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",INF,152287
,SC,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",INF,158393
,ST,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",INF,154576
,ST,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",INF,156260
,BCA,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",INF,84845
,BCA,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",INF,84845
,BCB,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",INF,60924
,BCB,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",INF,60924
,BCC,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",INF,140060
,BCC,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",INF,140060
,BCD,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",INF,59396
,BCD,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",INF,59396
,BCE,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",INF,131808
,BCE,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",INF,131808
,OC_EWS,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",INF,41596
,OC_EWS,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",INF,40279
,OC,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",MEC,65182
,OC,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",MEC,122918
,SC,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",MEC,176499
,SC,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",MEC,176499
,ST,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",MEC,159792
,ST,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",MEC,161231
,BCA,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",MEC,131468
,BCA,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",MEC,131468
,BCB,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",MEC,100592
,BCB,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",MEC,122918
,BCC,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",MEC,65182
,BCC,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",MEC,136129
,BCD,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",MEC,108178
,BCD,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",MEC,122918
,BCE,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",MEC,142038
,BCE,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",MEC,142038
,OC_EWS,Male,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",MEC,84177
,OC_EWS,Female,AU,Local,None,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",MEC,128039
,OC,Male,AU,Local,None,ACPS,ADITYA COLLEGE OF PHARMACY,PHD,80115
,OC,Female,AU,Local,None,ACPS,ADITYA COLLEGE OF PHARMACY,PHD,80115
,SC,Male,AU,Local,None,ACPS,ADITYA COLLEGE OF PHARMACY,PHD,121336
,SC,Female,AU,Local,None,ACPS,ADITYA COLLEGE OF PHARMACY,PHD,121336
,ST,Male,AU,Local,None,ACPS,ADITYA COLLEGE OF PHARMACY,PHD,126509
,ST,Female,AU,Local,None,ACPS,ADITYA COLLEGE OF PHARMACY,PHD,126509
,BCA,Male,AU,Local,None,ACPS,ADITYA COLLEGE OF PHARMACY,PHD,80115
,BCA,Female,AU,Local,None,ACPS,ADITYA COLLEGE OF PHARMACY,PHD,80115
,BCB,Male,AU,Local,None,ACPS,ADITYA COLLEGE OF PHARMACY,PHD,80115
,BCB,Female,AU,Local,None,ACPS,ADITYA COLLEGE OF PHARMACY,PHD,133398
,BCC,Male,AU,Local,None,ACPS,ADITYA COLLEGE OF PHARMACY,PHD,80115
,BCC,Female,AU,Local,None,ACPS,ADITYA COLLEGE OF PHARMACY,PHD,80115
,BCD,Male,AU,Local,None,ACPS,ADITYA COLLEGE OF PHARMACY,PHD,80115
,BCD,Female,AU,Local,None,ACPS,ADITYA COLLEGE OF PHARMACY,PHD,155852
,BCE,Male,AU,Local,None,ACPS,ADITYA COLLEGE OF PHARMACY,PHD,80115
,BCE,Female,AU,Local,None,ACPS,ADITYA COLLEGE OF PHARMACY,PHD,129682
,OC_EWS,Male,AU,Local,None,ACPS,ADITYA COLLEGE OF PHARMACY,PHD,94987
,OC,Male,AU,Local,None,ANURSF,"ADI KAVI NANNAYA UNIVERSITY
COLLEGE OF ENGG.-SELF FINANCE",CIV,107746
,OC,Female,AU,Local,None,ANURSF,"ADI KAVI NANNAYA UNIVERSITY
COLLEGE OF ENGG.-SELF FINANCE",CIV,171703
,SC,Male,AU,Local,None,ANURSF,"ADI KAVI NANNAYA UNIVERSITY
COLLEGE OF ENGG.-SELF FINANCE",CIV,176873
,SC,Female,AU,Local,None,ANURSF,"ADI KAVI NANNAYA UNIVERSITY
COLLEGE OF ENGG.-SELF FINANCE",CIV,176873
,ST,Male,AU,Local,None,ANURSF,"ADI KAVI NANNAYA UNIVERSITY
COLLEGE OF ENGG.-SELF FINANCE",CIV,169855
,ST,Female,AU,Local,None,ANURSF,"ADI KAVI NANNAYA UNIVERSITY
COLLEGE OF ENGG.-SELF FINANCE",CIV,171703
